date,time,rain
25-03-2020,03:00,0
25-03-2020,03:10,0
25-03-2020,03:20,0
25-03-2020,03:30,0
25-03-2020,03:40,0
25-03-2020,03:50,0
25-03-2020,04:00,0
25-03-2020,04:10,0
25-03-2020,04:20,0
25-03-2020,04:30,0
25-03-2020,04:40,0
25-03-2020,04:50,0
25-03-2020,05:00,0
25-03-2020,05:10,0
25-03-2020,05:20,0
25-03-2020,05:30,0
25-03-2020,05:40,0
25-03-2020,05:50,0
25-03-2020,06:00,0
25-03-2020,06:10,0
25-03-2020,06:20,0
25-03-2020,06:30,0
25-03-2020,06:40,0
25-03-2020,06:50,0
25-03-2020,07:00,0
25-03-2020,07:10,0
25-03-2020,07:20,0
25-03-2020,07:30,0
25-03-2020,07:40,0
25-03-2020,07:50,0
25-03-2020,08:00,0
