date,time,rain
25-03-2020,03:00,0
25-03-2020,03:10,0.1
25-03-2020,03:20,0
25-03-2020,03:30,0.4
25-03-2020,03:40,0
25-03-2020,03:50,0.6
25-03-2020,04:00,0.4
25-03-2020,04:10,0.8
25-03-2020,04:20,0.8
25-03-2020,04:30,1.6
25-03-2020,04:40,1.2
25-03-2020,04:50,2.8
25-03-2020,05:00,3.6
25-03-2020,05:10,0.4
25-03-2020,05:20,2.8
25-03-2020,05:30,0.8
25-03-2020,05:40,2.4
25-03-2020,05:50,2.6
25-03-2020,06:00,1.2
25-03-2020,06:10,1.6
25-03-2020,06:20,3.2
25-03-2020,06:30,3.6
25-03-2020,06:40,8.8
25-03-2020,06:50,2.8
25-03-2020,07:00,2.8
25-03-2020,07:10,4.4
25-03-2020,07:20,0
25-03-2020,07:30,1.2
25-03-2020,07:40,1.8
25-03-2020,07:50,12.2
25-03-2020,08:00,7.2
